"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I had a pretty surreal photo shoot while filming #avengers #infinitywar We took this photo… https://t.co/Z18cenSCDY",FALSE,7541,NA,2017-11-27 21:47:13,FALSE,NA,"935263766974836736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",989,FALSE,FALSE,NA,NA
"YES!!!",FALSE,9080,NA,2017-11-27 05:44:38,FALSE,NA,"935021528713801728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",714,FALSE,FALSE,NA,NA
"Did I fix it?",FALSE,12698,NA,2017-11-27 05:44:22,FALSE,NA,"935021460858454016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",762,FALSE,FALSE,NA,NA
"I<U+FE0F> need to fix this iPhone thing. I<U+FE0F> can’t stand I<U+FE0F>t. I<U+FE0F> am so angry. I<U+FE0F> don’t know how to. I<U+FE0F> before e except afte… https://t.co/QTFTGXo7ho",FALSE,45193,NA,2017-11-27 03:33:10,TRUE,NA,"934988441749659648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",5068,FALSE,FALSE,NA,NA
"That’s a trade secret. I<U+FE0F> can’t tell you. (My butt) https://t.co/4bCRxHnaue",FALSE,6930,NA,2017-11-27 03:32:11,FALSE,NA,"934988195116171265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",658,FALSE,FALSE,NA,NA
"Sooo excited!!!! To put an end to the debate.... What you’re seeing in this clip is in fact a hand operated puppet.… https://t.co/IXVcPoEzOm",FALSE,54419,NA,2017-11-27 03:27:24,TRUE,NA,"934986991397093376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",10159,FALSE,FALSE,NA,NA
"LLLLEEEEEEETTTSSSS GOOOOO SEEEAAAAHHHAAAWWWKSSS!!",FALSE,10416,NA,2017-11-26 21:00:54,FALSE,NA,"934889723381690369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",838,FALSE,FALSE,NA,NA
"I<U+FE0F> just lost a bet: Google search says it’s pronounced “La-Croy” not “La-Kwah” I<U+FE0F> was wrong.  I<U+FE0F> act like I’m fancy… https://t.co/HAWmaIsZjC",FALSE,9372,NA,2017-11-24 02:05:13,TRUE,NA,"933879144969994240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",846,FALSE,FALSE,NA,NA
"Wow. Thank you Dave. “The warriors are not the war.” Really powerful stuff. Our Vererans have earned our support no… https://t.co/mLiIQdDmci",FALSE,4917,NA,2017-11-11 20:31:47,TRUE,NA,"929446578200309760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",398,FALSE,FALSE,NA,NA
"I remember that moment perfectly. James asks, “Chris. What’s the matter?” I<U+FE0F> reply, “My lip balm. I thought it was… https://t.co/Jucf0BFKED",FALSE,22068,NA,2017-11-11 19:22:52,TRUE,NA,"929429237135589376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",2564,FALSE,FALSE,NA,NA
"Praying for a speedy recovery @RSherman_25 Best in the game. https://t.co/NdZIg5IF4T",FALSE,5460,NA,2017-11-10 07:09:06,FALSE,NA,"928882189067939840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",378,FALSE,FALSE,NA,NA
"Why UFC? Here’s why.  I respect every winner and loser of the night. Outside of NFL it’s the last bastion of gladiator competition. I <U+2665><U+FE0F> it!",FALSE,9057,NA,2017-11-05 01:45:01,FALSE,NA,"926988691502854145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",593,FALSE,FALSE,NA,NA
"It’s rare there’s ever a fight night as explosive as #UFC217 tonight. Who you got!? Three title fights! And amazing undercards. I’m ready.",FALSE,4113,NA,2017-11-04 21:38:27,FALSE,NA,"926926642303213568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",314,FALSE,FALSE,NA,NA
"No doubt. #Wilson all day! #AirAndGround great games all around but @DangeRussWilson is the winner here. https://t.co/rMj2HcE2Ro",FALSE,1578,NA,2017-10-31 19:15:27,FALSE,NA,"925441105037901824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",148,FALSE,FALSE,NA,NA
"Houston is getting a hell of a player in return. Jeremy @StayingInMyLane will be missed. Thanks for the hits bro! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2665><U+FE0F>",FALSE,2818,NA,2017-10-30 23:55:48,FALSE,NA,"925149268859482112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",156,FALSE,FALSE,NA,NA
"YES!! #Seahawks signing @DuaneBrown76 is the best news the #12s could hear! Such a stud! Such a class act! Welcome to the @Seahawks my man!!",FALSE,2723,NA,2017-10-30 23:52:15,FALSE,NA,"925148375246258176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",244,FALSE,FALSE,NA,NA
"Take a moment to feel good. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2665><U+FE0F> https://t.co/EUKNSKaD7D",FALSE,13950,NA,2017-10-27 22:20:00,FALSE,NA,"924037995979669504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",1882,FALSE,FALSE,NA,NA
"Thank you. This brings me profound joy. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2665><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/pKJ0ATj5J6",FALSE,24024,NA,2017-10-21 00:36:59,FALSE,NA,"921535751157825536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",3653,FALSE,FALSE,NA,NA
"Much love to @Rae_Dawn_Chong who took a chance on me so long ago. Smart. Talented. Generous. Real. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2665><U+FE0F> #WOCAffirmation",FALSE,4426,NA,2017-10-14 18:45:28,FALSE,NA,"919272963211452416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",288,FALSE,FALSE,NA,NA
"HHHHAAAAAWKKKKKKSSS!!!!!! https://t.co/w6RXp4wg54",FALSE,7214,NA,2017-10-08 20:07:10,FALSE,NA,"917119199092158464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",722,FALSE,FALSE,NA,NA
"LesssssGoSeahawks!!! #12s #GoHawks @DangeRussWilson  GET LOUD!!!!!!",FALSE,4483,NA,2017-10-02 00:34:00,FALSE,NA,"914649634655567872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",385,FALSE,FALSE,NA,NA
"Bid now on this most amazing prop   From Guardians Vol. 2! Proceeds go to a great cause. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2665><U+FE0F> https://t.co/gOLwhFMNLQ",FALSE,4152,NA,2017-09-29 20:15:30,FALSE,NA,"913859804392595456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",515,FALSE,FALSE,NA,NA
"<U+2665><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/YNOwXXcL5S",FALSE,9371,NA,2017-09-28 04:36:07,FALSE,NA,"913261010596909056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",1880,FALSE,FALSE,NA,NA
"Dude I suck at quizzes https://t.co/9n2P2ayIH8",FALSE,348258,NA,2017-09-25 03:39:35,FALSE,NA,"912159619409162240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",79283,FALSE,FALSE,NA,NA
"United we stand. This moved me. https://t.co/G0lpj7pdD3",FALSE,13184,NA,2017-09-19 03:27:03,FALSE,NA,"909982141802438656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",1656,FALSE,FALSE,NA,NA
"Anna and I are sad to announce we are legally separating. We tried hard for a long time, and we’re really... https://t.co/Zw5HcMQCZ3",FALSE,41485,NA,2017-08-07 03:05:44,FALSE,NA,"894394098311847936",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",11066,FALSE,FALSE,NA,NA
"The Sneepers are hands down the greatest band in the world. They're super hot right now. Enjoy! https://t.co/0JsAYSz68N",FALSE,4429,NA,2017-08-07 00:55:27,FALSE,NA,"894361310577676289",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",497,FALSE,FALSE,NA,NA
"Thanks for the aloha shirts kahalasportswear And goodbye to Hawaii! Thank you! We had such a… https://t.co/fHYx8gDg0t",FALSE,4191,NA,2017-07-11 23:42:53,FALSE,NA,"884920962688237568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",331,FALSE,FALSE,NA,NA
"The Fonz has never looked cooler! Great fish! Now that jurassic is wrapped you can cash me ousside (fishin) https://t.co/COmhbKB1CC",FALSE,6963,NA,2017-07-11 06:33:24,FALSE,NA,"884661886360338432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",411,FALSE,FALSE,NA,NA
"Thank you to @therock for nominating me for the #Flexforforces challenge and introducing me to… https://t.co/l5bxE2OM1H",FALSE,3933,NA,2017-07-11 06:04:33,FALSE,NA,"884654625290428416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",343,FALSE,FALSE,"-158.12944444","21.57527778"
"#jurassicworld trivia Which part of my body is spray tanned? You get one guess. https://t.co/TxzNVTwAK4",FALSE,5072,NA,2017-07-05 07:12:58,FALSE,NA,"882497515429429248",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",454,FALSE,FALSE,NA,NA
"Not sure what made me more proud: when Jack insisted on holding this barracuda himself, or when he tried it raw!... https://t.co/20f6Y6WAkN",FALSE,4138,NA,2017-06-29 17:03:10,FALSE,NA,"880471716413222913",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",256,FALSE,FALSE,NA,NA
"Not sure what made me more proud: when Jack insisted on holding this barracuda himself, or when… https://t.co/6gMhSjJ7Ms",FALSE,3090,NA,2017-06-29 17:03:04,FALSE,NA,"880471693629825025",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",198,FALSE,FALSE,"-157.837","21.5206"
"Me and Jack had such an awesome time fishing at @kualoaranch with John, Casie, @jasonmorgan and company. We love... https://t.co/VMfui3XgIL",FALSE,2102,NA,2017-06-29 16:44:40,FALSE,NA,"880467062493196293",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",119,FALSE,FALSE,NA,NA
"Me and Jack had such an awesome time fishing at @KualoaHi with John, Casie, @WhatJasonTweets and… https://t.co/TfvMt9TQEc",FALSE,2046,NA,2017-06-29 16:44:37,FALSE,NA,"880467049528545280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",133,FALSE,FALSE,NA,NA
"I like it! https://t.co/P2rwZTaWAd",FALSE,3721,NA,2017-06-28 23:44:59,FALSE,NA,"880210452004786179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",294,FALSE,FALSE,NA,NA
"Thanks to our #Crowdrise winners Genna Sherwood AKA @gensherwoodnt and her 3 guests plus international winner... https://t.co/xJMNfoIShy",FALSE,1863,NA,2017-06-27 05:13:49,FALSE,NA,"879568430000738304",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",132,FALSE,FALSE,NA,NA
"Thanks to our #Crowdrise winners Genna Sherwood AKA @gennasherwood and her 3 guests plus… https://t.co/2n6GNFJYbO",FALSE,1754,NA,2017-06-27 05:12:36,FALSE,NA,"879568120402202624",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",152,FALSE,FALSE,"-157.837","21.5206"
"In one year, life finds a way. #JurassicWorld Fallen Kingdom We are 80 days into filming!! I can't tell you much... https://t.co/cLGdIaQErX",FALSE,6941,NA,2017-06-22 16:50:40,FALSE,NA,"877931856611614720",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",1012,FALSE,FALSE,NA,NA
"In one year, life finds a way. #JurassicWorld Fallen Kingdom We are 80 days into filming!! I… https://t.co/8twVIOrBkA",FALSE,7627,NA,2017-06-22 16:47:46,FALSE,NA,"877931127771504640",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",1304,FALSE,FALSE,NA,NA
"Day made. I LOVE Survivorman!!! So so so awesome. World: If you haven't watched survivorman you're missing out! https://t.co/Me6HncLYdr",FALSE,3566,NA,2017-06-19 04:24:46,FALSE,NA,"876656983306158081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",196,FALSE,FALSE,NA,NA
"My old man was strong, funny, uneducated and whip smart. He drank whiskey on his death bed. He could build anything. He was there. Always. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,53342,NA,2017-06-18 20:29:54,FALSE,NA,"876537478034804737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",2351,FALSE,FALSE,NA,NA
"HAAHAHA!!! Oh man. That's good. https://t.co/HYWmaOYvm6",FALSE,2464,NA,2017-06-16 00:01:30,FALSE,NA,"875503563983642624",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",284,FALSE,FALSE,NA,NA
"I like this kid. What a great and uplifting story. Hey Preston, if you ever read this I'd like to say thank you... https://t.co/YZY5AF11iq",FALSE,3095,NA,2017-06-14 18:54:29,FALSE,NA,"875063914110869506",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",311,FALSE,FALSE,NA,NA
"These guys are talented as hell. Check 'em out. I rarely plug bands so when I do you know they're good. <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/FEuZ6QKwPt",FALSE,2981,NA,2017-06-06 20:13:00,FALSE,NA,"872184571802128385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",247,FALSE,FALSE,NA,NA
"Love you kiddo!!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+0086> https://t.co/ZqVuTpzkF0",FALSE,4535,NA,2017-06-05 05:35:17,FALSE,NA,"871601299254542336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",250,FALSE,FALSE,NA,NA
"Go get em love! https://t.co/chJQoFgLfx",FALSE,4788,NA,2017-06-04 21:57:32,FALSE,NA,"871486101088763909",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",214,FALSE,FALSE,NA,NA
"@Rangers @rangerscaptain How do you know that's not me under there?",FALSE,1727,"Rangers",2017-06-03 23:37:44,FALSE,"871136709349593088","871148927147540480","40931019","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",201,FALSE,FALSE,NA,NA
"Yeah! https://t.co/0T7i2vU5o5",FALSE,2118,NA,2017-05-31 19:14:31,FALSE,NA,"869995524014743553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",140,FALSE,FALSE,NA,NA
"It's officially the last day to enter our #crowdrise competition!! It's now or  never!!! Click the link in my bio... https://t.co/M83k2oaVc5",FALSE,2017,NA,2017-05-31 14:36:50,FALSE,NA,"869925642795614208",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",228,FALSE,FALSE,NA,NA
"Great news! The second contest is global! You plus one flown to Hawaii, (few restrictions apply)four day stay at Ho… https://t.co/J56vHzupmx",FALSE,2045,NA,2017-05-30 14:53:36,TRUE,NA,"869567475284889600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",141,FALSE,FALSE,NA,NA
"I forgot to put the link to the crowdrise campaign in my Facebook bio. Actually. That is a lie. I didn't forget.... https://t.co/aAwsgR6d2U",FALSE,1949,NA,2017-05-30 12:50:40,FALSE,NA,"869536536265723905",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",186,FALSE,FALSE,NA,NA
"Only One Day Left!!! #jurassicworld #crowdrise Click link in my bio and enter the contest to visit me on the set... https://t.co/Hf2X843HJI",FALSE,1929,NA,2017-05-30 12:10:44,FALSE,NA,"869526489439621120",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",236,FALSE,FALSE,NA,NA
"Just two days left to enter! Great cause! Awesome prize! Win win! Click the link in my bio. <U+2665><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Hang with me! Se… https://t.co/eX4Oxgb73A",FALSE,2895,NA,2017-05-30 07:44:06,TRUE,NA,"869459386778910721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",257,FALSE,FALSE,NA,NA
"Here's John's post with all the info we couldn't really get out in my first post since we were both still... https://t.co/FVY0DoohSy",FALSE,2737,NA,2017-05-29 13:15:32,FALSE,NA,"869180408516182016",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",299,FALSE,FALSE,NA,NA
"#memorialday #murphchallenge #johnkrasinski 
1 mile
100 pull-ups
200 push-ups
300 air-squats
1 mile

Do it for... https://t.co/PLZg5A8Ao4",FALSE,7558,NA,2017-05-29 10:59:16,FALSE,NA,"869146115131809792",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",1194,FALSE,FALSE,NA,NA
"Hahahaha! That's the lunchbox shrine room!? Looks dope. https://t.co/rRKI77vbPl",FALSE,7730,NA,2017-05-25 21:58:39,FALSE,NA,"867862503824519168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",1014,FALSE,FALSE,NA,NA
"THANK YOU!!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><U+2665><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BC><ed><U+00BC><U+008E> #jurassicworld #universal #Delta #marriott 
And to everyone who entered the contest! There's... https://t.co/cv6pqwHazb",FALSE,2946,NA,2017-05-24 20:24:35,FALSE,NA,"867476443789496321",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",264,FALSE,FALSE,NA,NA
"Under the radar, powerful female voice in country. @courtneymamusic give her a try. Album: Honest Life. Current fav… https://t.co/3caSqm6Twa",FALSE,1822,NA,2017-05-24 13:20:47,TRUE,NA,"867369790528147456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",165,FALSE,FALSE,NA,NA
"There are two options. 

1) trip for four <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>and <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6>only 
2) trip for two from anywhere around the <ed><U+00A0><U+00BC><ed><U+00BC><U+008E>  (with a few res… https://t.co/FTowJaaj4y",FALSE,2688,NA,2017-05-23 09:17:53,TRUE,NA,"866946276205703168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",246,FALSE,FALSE,NA,NA
"For grace. For vigilance. For justice. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>#manchesterattack",FALSE,30306,NA,2017-05-23 06:40:02,FALSE,NA,"866906551851896832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",5750,FALSE,FALSE,NA,NA
